Post code;City name;Sub-region code(Optional)
01400;L ABERGEMENT CLEMENCIAT;01
01640;L ABERGEMENT DE VAREY;01
01090;AMAREINS;01
01500;AMBERIEU EN BUGEY;01
01330;AMBERIEUX EN DOMBES;01
01300;AMBLEON;01
01500;AMBRONAY;01
01500;AMBUTRIX;01
01300;ANDERT ET CONDON;01
01350;ANGLEFORT;01
01100;APREMONT;01
01110;ARANC;01
01230;ARANDAS;01
01100;ARBENT;01
01300;ARBIGNIEU;01
01190;ARBIGNY;01
01230;ARGIS;01
01510;ARMIX;01
01480;ARS SUR FORMANS;01
01510;ARTEMARE;01
01570;ASNIERES SUR SAONE;01
01340;ATTIGNAT;01
01380;BAGE LA VILLE;01
01380;BAGE LE CHATEL;01
01360;BALAN;01
01990;BANEINS;01
01270;BEAUPONT;01
01480;BEAUREGARD;01
01810;BELLIGNAT;01
01360;BELIGNEUX;01
01200;BELLEGARDE SUR VALSERINE;01
01300;BELLEY;01
01130;BELLEYDOUX;01
01260;BELMONT LUTHEZIEU;01
01470;BENONCES;01
01370;BENY;01
01350;BEON;01
01340;BEREZIAT;01
01500;BETTANT;01
01290;BEY;01
01700;BEYNOST;01
01200;BILLIAT;01
01330;BIRIEUX;01
01290;BIZIAT;01
01150;BLYES;01
01250;BOHAS;01
01120;LA BOISSE;01
01190;BOISSEY;01
01450;BOLOZON;01
01330;BOULIGNEUX;01
01000;BOURG EN BRESSE;01
01800;BOURG ST CHRISTOPHE;01
01100;BOUVENT;01
01640;BOYEUX ST JEROME;01
01190;BOZ;01
01300;BREGNIER CORDON;01
01260;BRENAZ;01
01110;BRENOD;01
01300;BRENS;01
01360;BRESSOLLES;01
01460;BRION;01
01470;BRIORD;01
01310;BUELLAS;01
01510;LA BURBANCHE;01
01430;CEIGNES;01
01450;CERDON;01
01240;CERTINES;01
01090;CESSEINS;01
01170;CESSY;01
01250;CEYZERIAT;01
01350;CEYZERIEU;01
01320;CHALAMONT;01
01480;CHALEINS;01
01230;CHALEY;01
01450;CHALLES;01
01630;CHALLEX;01
01260;CHAMPAGNE EN VALROMEY;01
01110;CHAMPDOR;01
01410;CHAMPFROMIER;01
01420;CHANAY;01
01990;CHANEINS;01
01400;CHANOZ CHATENAY;01
01240;LA CHAPELLE DU CHATELARD;01
01260;CHARANCIN;01
01130;CHARIX;01
01800;CHARNOZ SUR AIN;01
01500;CHATEAU GAILLARD;01
01320;CHATENAY;01
01200;CHATILLON EN MICHAILLE;01
01320;CHATILLON LA PALUD;01
01400;CHATILLON SUR CHALARONNE;01
01190;CHAVANNES SUR REYSSOUZE;01
01250;CHAVANNES SUR SURAN;01
01660;CHAVEYRIAT;01
01510;CHAVORNAY;01
01300;CHAZEY BONS;01
01150;CHAZEY SUR AIN;01
01510;CHEIGNIEU LA BALME;01
01430;CHEVILLARD;01
01190;CHEVROUX;01
01170;CHEVRY;01
01200;CHEZERY FORENS;01
01390;CIVRIEUX;01
01250;CIZE;01
01230;CLEYZIEU;01
01270;COLIGNY;01
01550;COLLONGES;01
01300;COLOMIEU;01
01230;CONAND;01
01430;CONDAMINE;01
01400;CONDEISSIAT;01
01200;CONFORT;01
01310;CONFRANCON;01
01300;CONTREVOZ;01
01300;CONZIEU;01
01420;CORBONOD;01
01110;CORCELLES;01
01120;CORDIEUX;01
01110;CORLIER;01
01110;CORMARANCHE EN BUGEY;01
01290;CORMORANCHE SUR SAONE;01
01560;CORMOZ;01
01250;CORVEISSIAT;01
01370;COURMANGOUX;01
01560;COURTES;01
01320;CRANS;01
01340;CRAS SUR REYSSOUZE;01
