Region code;Sub-region code;Sub-region name
N;RO;Rondônia
N;AC;Acre
N;AM;Amazonas
N;RR;Roraima
N;PA;Pará
N;AP;Amapá
N;TO;Tocantins
NE;MA;Maranhão
NE;PI;Piauí
NE;CE;Ceará
NE;RN;Rio Grande do Norte
NE;PB;Paraíba
NE;PE;Pernambuco
NE;AL;Alagoas
NE;SE;Sergipe
NE;BA;Bahia
SE;MG;Minas Gerais
SE;ES;Espírito Santo
SE;RJ;Rio de Janeiro
SE;SP;São Paulo
S;PR;Paraná
S;SC;Santa Catarina
S;RS;Rio Grande do Sul
CO;MS;Mato Grosso do Sul
CO;MT;Mato Grosso
CO;GO;Goiás
CO;DF;Distrito Federal
