Region code;Sub-region code;Sub-region name
ni;ohz;Osterholz
ni;wst;Ammerland
ni;aur;Aurich
ni;ce;Celle
ni;clp;Cloppenburg
ni;cux;Cuxhaven
ni;dh;Diepholz
ni;el;Emsland
ni;fri;Friesland
ni;gf;Gifhorn
ni;gs;Goslar
ni;goe;Göttingen
ni;noh;Grafschaft Bentheim
ni;hm;Hameln-Pyrmont
ni;h;Hannover
ni;wl;Harburg
ni;hk;Heidekreis
ni;he;Helmstedt
ni;hi;Hildesheim
ni;hol;Holzminden
ni;ler;Leer
ni;dan;Lüchow-Dannenberg
ni;lg;Lüneburg
ni;ni;Nienburg/Weser
ni;nom;Northeim
ni;ol;Oldenburg
ni;emd;Emden
ni;del;Delmenhorst
ni;bs;Braunschweig
ni;os;Osnabrück
ni;pe;Peine
ni;row;Rotenburg (Wümme)
ni;sz;Salzgitter
ni;shg;Schaumburg
ni;std;Stade
ni;ue;Uelzen
ni;vec;Vechta
ni;ver;Verden
ni;bra;Wesermarsch
ni;whv;Wilhelmshaven
ni;wtm;Wittmund
ni;wf;Wolfenbüttel
ni;wob;Wolfsburg
sh;hei;Dithmarschen
sh;fl;Flensburg
sh;rz;Herzogtum Lauenburg
sh;ki;Kiel
sh;hl;Lübeck
sh;nms;Neumünster
sh;nf;Nordfriesland
sh;oh;Ostholstein
sh;pi;Pinneberg
sh;ploe;Plön
sh;rd;Rendsburg-Eckernförde
sh;sl;Schleswig-Flensburg
sh;se;Segeberg
sh;iz;Steinburg
sh;od;Stormarn
mv;lup;Ludwigslust-Parchim
mv;mse;Mecklenburgische Seenplatte
mv;nwm;Nordwestmecklenburg
mv;ros;Rostock
mv;sn;Schwerin
mv;vg;Vorpommern-Greifswald
mv;vr;Vorpommern-Rügen
nw;ac;Aachen
nw;bi;Bielefeld
nw;bo;Bochum
nw;bn;Bonn
nw;bor;Borken
nw;bot;Bottrop
nw;coe;Coesfeld
nw;do;Dortmund
nw;du;Duisburg
nw;dn;Düren
nw;d;Düsseldorf
nw;en;Ennepe-Ruhr-Kreis
nw;e;Essen
nw;eu;Euskirchen
nw;ge;Gelsenkirchen
nw;gt;Gütersloh
nw;ha;Hagen
nw;ham;Hamm
nw;hs;Heinsberg
nw;hf;Herford
nw;her;Herne
nw;hsk;Hochsauerlandkreis
nw;hx;Höxter
nw;kle;Kleve
nw;k;Köln
nw;kr;Krefeld
nw;lev;Leverkusen
nw;lip;Lippe
nw;mk;Märkischer Kreis
nw;me;Mettmann
nw;mi;Minden-Lübbecke
nw;mg;Mönchengladbach
nw;mh;Mülheim an der Ruhr
nw;ms;Münster
nw;gm;Oberbergischer Kreis
nw;ob;Oberhausen
nw;oe;Olpe
nw;pb;Paderborn
nw;re;Recklinghausen
nw;rs;Remscheid
nw;bm;Rhein-Erft-Kreis
nw;gl;Rheinisch-Bergischer Kreis
nw;ne;Rhein-Kreis Neuss
nw;su;Rhein-Sieg-Kreis
nw;si;Siegen-Wittgenstein
nw;so;Soest
nw;sg;Solingen
nw;st;Steinfurt
nw;un;Unna
nw;vie;Viersen
nw;waf;Warendorf
nw;wes;Wesel
nw;w;Wuppertal
