Region code;Sub-region code;Sub-region name
BL;101;Okres Bratislava I 
BL;102;Okres Bratislava II 
BL;103;Okres Bratislava III 
BL;104;Okres Bratislava IV 
BL;105;Okres Bratislava V 
BL;106;Okres Malacky 
BL;107;Okres Pezinok 
BL;108;Okres Senec
TA;201;Okres Dunajská Streda, 
TA;202;Okres Galanta 
TA;203;Okres Hlohovec 
TA;204;Okres Piešťany 
TA;205;Okres Senica 
TA;206;Okres Skalica 
TA;207;Okres Trnava
TC;301;Okres Bánovce nad Bebravou 
TC;302;Okres Ilava
TC;303;Okres Myjava 
TC;304;Okres Nové Mesto nad Váhom 
TC;305;Okres Partizánske 
TC;306;Okres Považská Bystrica 
TC;307;Okres Prievidza 
TC;308;Okres Púchov 
TC;309;Okres Trenčín
NI;401;Okres Komárno 
NI;402;Okres Levice 
NI;403;Okres Nitra
NI;404;Okres Nové Zámky 
NI;405;Okres Šaľa
NI;406;Okres Topoľčany 
NI;407;Okres Zlaté Moravce
ZI;501;Okres Bytča 
ZI;502;Okres Čadca 
ZI;503;Okres Dolný Kubín 
ZI;504;Okres Kysucké Nové Mesto 
ZI;505;Okres Liptovský Mikuláš 
ZI;506;Okres Martin 
ZI;507;Okres Námestovo 
ZI;508;Okres Ružomberok 
ZI;509;Okres Turčianske Teplice 
ZI;510;Okres Tvrdošín 
ZI;511;Okres Žilina
BC;601;Okres Banská Bystrica 
BC;602;Okres Banská Štiavnica 
BC;603;Okres Brezno 
BC;604;Okres Detva 
BC;605;Okres Krupina 
BC;606;Okres Lučenec 
BC;607;Okres Poltár
BC;608;Okres Revúca 
BC;609;Okres Rimavská Sobota 
BC;610;Okres Veľký Krtíš 
BC;611;Okres Zvolen 
BC;612;Okres Žarnovica 
BC;613;Okres Žiar nad Hronom
PV;701;Okres Bardejov 
PV;702;Okres Humenné 
PV;703;Okres Kežmarok 
PV;704;Okres Levoča
PV;705;Okres Medzilaborce 
PV;706;Okres Poprad 
PV;707;Okres Prešov 
PV;708;Okres Sabinov 
PV;709;Okres Snina 
PV;710;Okres Stará Ľubovňa 
PV;711;Okres Stropkov 
PV;712;Okres Svidník
PV;713;Okres Vranov nad Topľou
KI;801;Okres Gelnica
KI;802;Okres Košice I
KI;803;Okres Košice II
KI;804;Okres Košice III 
KI;805;Okres Košice IV 
KI;806;Okres Košice-okolie 
KI;807;Okres Michalovce 
KI;808;Okres Rožňava
KI;809;Okres Sobrance 
KI;810;Okres Spišská Nová Ves 
KI;811;Okres Trebišov
